idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2012,49,2020-07-01,di,2020-09-22 17:12:30,amauger,2020-09-22 17:12:30,amauger
2012,50,2020-08-01,di,2020-09-22 17:13:27,amauger,2020-09-22 17:13:27,amauger
2012,51,2020-08-01,di,2020-09-22 17:14:20,amauger,2020-09-22 17:14:20,amauger
2012,52,2021-02-15,di,2020-09-22 17:15:28,amauger,2020-09-22 17:15:28,amauger
2012,53,2021-02-15,di,2020-09-22 17:16:54,amauger,2020-09-22 17:16:54,amauger
2012,54,2020-07-01,di,2020-09-22 17:25:45,amauger,2020-09-22 17:25:45,amauger
2012,55,2020-08-01,di,2020-09-22 17:26:24,amauger,2020-09-22 17:26:24,amauger
2012,56,2020-08-01,di,2020-09-22 17:27:01,amauger,2020-09-22 17:27:01,amauger
2012,57,2021-02-15,di,2020-09-22 17:27:39,amauger,2020-09-22 17:27:39,amauger
2012,58,2021-02-15,di,2020-09-22 17:28:33,amauger,2020-09-22 17:28:33,amauger
2012,59,2020-07-01,di,2020-09-22 17:37:25,amauger,2020-09-22 17:37:25,amauger
2012,60,2020-08-01,di,2020-09-22 17:38:00,amauger,2020-09-22 17:38:00,amauger
2012,61,2021-08-01,di,2020-09-22 17:38:54,amauger,2020-09-22 17:38:54,amauger
2012,62,2021-02-15,di,2020-09-22 17:40:13,amauger,2020-09-22 17:40:13,amauger
2012,63,2021-02-15,di,2020-09-22 17:40:57,amauger,2020-09-22 17:40:57,amauger
2012,64,2020-07-01,di,2020-09-22 17:46:19,amauger,2020-09-22 17:46:19,amauger
2012,65,2020-08-01,di,2020-09-22 17:47:00,amauger,2020-09-22 17:47:00,amauger
2012,66,2020-08-01,di,2020-09-22 17:47:41,amauger,2020-09-22 17:47:41,amauger
2012,67,2021-02-15,di,2020-09-22 17:48:18,amauger,2020-09-22 17:48:18,amauger
2012,68,2021-02-15,di,2020-09-22 17:49:13,amauger,2020-09-22 17:49:13,amauger
2028,69,2022-12-31,di,2022-02-18 09:36:33,renato.rossi,2022-02-18 09:36:33,renato.rossi
