idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
nucxemp,ativo,Quantidade de Empresas Ativas,sin,qtdati,"SUM(CASE emp.flativo WHEN 'S' THEN 1 ELSE 0 END) AS ativo",,,"ace, fed, nuc"
nucxemp,cidass.iduf,ACE - UF,amb,uface,,,,"ace, emp, fed, nuc"
nucxemp,cidass.nmcidade,ACE - Cidade,amb,cidace,,,,
nucxemp,cidemp.iduf,Empresa - UF,sin,ufemp,,,,ufe
nucxemp,cidemp.nmcidade,Empresa - Cidade,sin,cidemp,,,,ufe
nucxemp,con.nmcontato,Empresa - Empresário/Diretor,ana,empdir,,utf8_decode,,
nucxemp,emp.cdformalinformal,Empresa - Formal,ana,formal,,html_entity_decode,Esgn_Arrays::cdFormalEmpresa,
nucxemp,emp.dsbairro,Empresa - Bairro,ana,bairro,,utf8_decode,,
nucxemp,emp.dsemail,Empresa - E-mail,ana,email,,,,
nucxemp,emp.dsendereco,Empresa - Endereço,ana,ender,,utf8_decode,,
nucxemp,emp.dtultimaalteracao,Empresa - Data da Última Alteração,ana,dtultatu,,,Esgn_Formata::data,
nucxemp,emp.flativo,Empresa - Status,ana,status,,,Esgn_Arrays::statusAntigo,
nucxemp,emp.flfiliadoace,Empresa - Filiação ACE,ana,flace,,,Esgn_Arrays::flFiliadoAce,
nucxemp,emp.idcep,Empresa - CEP,ana,cep,,,Esgn_Formata::cep,
nucxemp,emp.nmfantasia,Empresa - Nome Fantasia,amb,nucfantasi,,utf8_decode,,
nucxemp,emp.nucnpjcpf,Empresa - CPF/CNPJ,ana,cnpjcpf,,,Esgn_Formata::cpfCnpj,
nucxemp,emp.nucomplemento,Empresa - Complemento,ana,comple,,utf8_decode,,
nucxemp,emp.nufax,Empresa - Fax,ana,fax,,,,
nucxemp,emp.nufone,Empresa - Telefone,ana,fone,,,,
nucxemp,emp.nufuncionario,Empresa - Número de Funcionários,ana,nfunci,,,,
nucxemp,emp.nunumero,Empresa - Número,ana,numero,,,,
nucxemp,emp.nurazaosocial,Empresa - Razão Social,amb,emprazao,,utf8_decode,,"emp, ufe"
nucxemp,fed.nmrazao,Federação -  Razão Social,amb,razaofed,,,,fed
nucxemp,flativonuc,Núcleo - Status,ana,statusn,nuc.flativo AS flativonuc,,Esgn_Arrays::statusAntigo,
nucxemp,inativo,Quantidade de Empresas Inativas,sin,qtdina,"SUM(CASE emp.flativo WHEN 'N' THEN 1 ELSE 0 END) AS inativo",,,"ace, fed, nuc"
nucxemp,nuc.nmnucleo,Núcleo Setorial,amb,nucleo,,,,nuc
nucxemp,ram.nmramoativ,Empresa - Ramo de Atividade,ana,ramoativ,,,,
nucxemp,seg.dssegmento,Núcleo - Segmento,ana,dsseg,,,,
nucxemp,str.dssetor,Empresa - Setor,ana,setor,,,,
nucxemp,total,Quantidade. de Núcleos,sin,qtdnuc,COUNT(nuc.*) AS total,,,"emp, ufe"
nucxemp,totalemp,Quantidade de Empresas,sin,qtdemp,COUNT(emp.*) AS totalemp,,,"ace, fed, nuc"
_proxaca,andam,Projetos em andamento,sin,andam,"SUM(CASE pro.flstatus WHEN 'andam' THEN 1 ELSE 0 END) AS andam",,,"epp, cha, ufp, gpr"
_proxaca,bloqu,Projetos bloqueados,sin,bloqu,"SUM(CASE pro.flstatus WHEN 'cadas' THEN 1 ELSE 0 END) AS bloqu",,,"epp, cha, ufp, gpr"
_proxaca,cadas,Projetos em cadastramento,sin,cadas,"SUM(CASE pro.flstatus WHEN 'cadas' THEN 1 ELSE 0 END) AS cadas",,,"epp, cha, ufp, gpr"
_proxaca,cance,Projetos cancelados,sin,cance,"SUM(CASE pro.flstatus WHEN 'cance' THEN 1 ELSE 0 END) AS cance",,,"epp, cha, ufp, gpr"
_proxaca,concl,Projetos concluídos,sin,concl,"SUM(CASE pro.flstatus WHEN 'concl' THEN 1 ELSE 0 END) AS concl",,,"epp, cha, ufp, gpr"
_proxaca,desco,Projetos descontinuados,sin,desco,"SUM(CASE pro.flstatus WHEN 'desco' THEN 1 ELSE 0 END) AS desco",,,"epp, cha, ufp, gpr"
_proxaca,inici,Projetos a iniciar,sin,inici,"SUM(CASE pro.flstatus WHEN 'inici' THEN 1 ELSE 0 END) AS inici",,,"epp, cha, ufp, gpr"
proxaca,aca.dsacao,Ação - Descrição,ana,dsacao,,utf8_decode,,
proxaca,aca.dtinicio,Ação - Início,ana,dtini,,,Esgn_Formata::data,
proxaca,aca.nmacao,Ação - Nome,ana,nmacao,,utf8_decode,,
proxaca,aca.nuacao,Ação - Nº,ana,nuacao,,,,
proxaca,aca.stacao,Ação - Status,ana,stacao,,html_entity_decode,Esgn_Arrays::stAcao,
proxaca,aca.vlrecucacb,Recursos CACB,ana,vlrecucacb,,,Esgn_Formata::valor,
