idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
119,22528,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
119,22628,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22653,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22723,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22724,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22799,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22801,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22854,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
119,22958,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22530,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
120,22643,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22646,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22844,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22846,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22979,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
120,22980,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
121,22540,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
121,22688,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
121,22690,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
121,22862,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
121,22865,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
