idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
1082,2018-03-01,in,2020-10-13 14:15:33,amauger,2020-10-13 14:15:33,amauger
1082,2020-10-31,fn,2020-10-13 14:15:33,amauger,2020-10-13 14:15:33,amauger
1086,2018-04-01,in,2021-06-14 16:41:23,renato.rossi,2021-06-14 16:41:23,renato.rossi
1086,2019-12-01,fn,2021-06-14 16:41:23,renato.rossi,2021-06-14 16:41:23,renato.rossi
1087,2020-10-30,df,2020-03-17 13:21:43,amauger,2020-03-17 13:21:43,amauger
1089,2018-05-01,in,2020-10-13 14:16:16,amauger,2020-10-13 14:16:16,amauger
1089,2020-10-31,fn,2020-10-13 14:16:16,amauger,2020-10-13 14:16:16,amauger
1091,2018-03-01,in,2020-08-14 13:39:09,patriciarego,2020-08-14 13:39:09,patriciarego
1091,2020-10-31,fn,2020-10-13 14:16:56,amauger,2020-10-13 14:16:56,amauger
1091,2020-11-01,fn,2020-08-14 13:39:09,patriciarego,2020-08-14 13:39:09,patriciarego
1091,2021-03-31,fn,2020-11-17 13:35:09,amauger,2020-11-17 13:35:09,amauger
1092,2018-03-01,in,2020-10-13 14:17:30,amauger,2020-10-13 14:17:30,amauger
1092,2020-10-31,fn,2020-10-13 14:17:30,amauger,2020-10-13 14:17:30,amauger
1092,2021-03-31,fn,2020-11-17 13:35:45,amauger,2020-11-17 13:35:45,amauger
1093,2018-03-01,in,2021-06-14 16:39:55,renato.rossi,2021-06-14 16:39:55,renato.rossi
1093,2020-03-01,fn,2021-06-14 16:39:55,renato.rossi,2021-06-14 16:39:55,renato.rossi
1096,2018-03-01,in,2020-10-13 14:18:00,amauger,2020-10-13 14:18:00,amauger
1096,2020-10-31,fn,2020-10-13 14:18:00,amauger,2020-10-13 14:18:00,amauger
1098,2018-03-01,in,2020-10-13 14:18:30,amauger,2020-10-13 14:18:30,amauger
1098,2020-10-31,fn,2020-10-13 14:18:30,amauger,2020-10-13 14:18:30,amauger
1101,2020-10-30,df,2020-03-17 13:18:12,amauger,2020-03-17 13:18:12,amauger
1102,2017-01-01,fn,2021-06-14 16:38:36,renato.rossi,2021-06-14 16:38:36,renato.rossi
1102,2017-01-01,in,2021-06-14 16:38:36,renato.rossi,2021-06-14 16:38:36,renato.rossi
1104,2017-01-01,fn,2021-06-14 16:36:15,renato.rossi,2021-06-14 16:36:15,renato.rossi
1104,2017-01-01,in,2021-06-14 16:36:15,renato.rossi,2021-06-14 16:36:15,renato.rossi
1110,2017-01-01,fn,2021-06-14 16:34:37,renato.rossi,2021-06-14 16:34:37,renato.rossi
1110,2017-01-01,in,2021-06-14 16:34:37,renato.rossi,2021-06-14 16:34:37,renato.rossi
1112,2020-10-30,df,2020-03-17 13:25:46,amauger,2020-03-17 13:25:46,amauger
1113,2018-05-02,in,2020-10-13 14:19:10,amauger,2020-10-13 14:19:10,amauger
1113,2020-10-31,fn,2020-10-13 14:19:10,amauger,2020-10-13 14:19:10,amauger
1115,2017-01-01,fn,2021-06-14 17:49:07,renato.rossi,2021-06-14 17:49:07,renato.rossi
1115,2017-01-01,in,2021-06-14 17:49:07,renato.rossi,2021-06-14 17:49:07,renato.rossi
1118,2020-10-30,df,2020-03-17 13:25:08,amauger,2020-03-17 13:25:08,amauger
1119,2018-03-01,in,2021-06-14 17:45:24,renato.rossi,2021-06-14 17:45:24,renato.rossi
1119,2020-03-01,fn,2021-06-14 17:45:24,renato.rossi,2021-06-14 17:45:24,renato.rossi
1120,2017-01-01,fn,2021-06-14 17:41:54,renato.rossi,2021-06-14 17:41:54,renato.rossi
1120,2017-01-01,in,2021-06-14 17:41:54,renato.rossi,2021-06-14 17:41:54,renato.rossi
