idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
518,2081,2022-07-06 08:45:56,Mluiza,2022-07-06 08:45:56,Mluiza,4
517,11788,2022-07-06 08:47:32,Mluiza,2022-07-06 08:47:32,Mluiza,1
517,3495,2022-07-06 08:47:32,Mluiza,2022-07-06 08:47:32,Mluiza,4
516,11789,2022-07-06 08:50:07,Mluiza,2022-07-06 08:50:07,Mluiza,1
516,2067,2022-07-06 08:50:07,Mluiza,2022-07-06 08:50:07,Mluiza,4
515,11789,2022-07-06 08:52:04,Mluiza,2022-07-06 08:52:04,Mluiza,1
515,2057,2022-07-06 08:52:04,Mluiza,2022-07-06 08:52:04,Mluiza,4
514,11789,2022-07-06 08:53:09,Mluiza,2022-07-06 08:53:09,Mluiza,1
514,2057,2022-07-06 08:53:09,Mluiza,2022-07-06 08:53:09,Mluiza,4
513,11789,2022-07-06 08:55:39,Mluiza,2022-07-06 08:55:39,Mluiza,1
513,2057,2022-07-06 08:55:39,Mluiza,2022-07-06 08:55:39,Mluiza,4
512,11794,2022-07-06 08:57:26,Mluiza,2022-07-06 08:57:26,Mluiza,1
512,1806,2022-07-06 08:57:26,Mluiza,2022-07-06 08:57:26,Mluiza,4
504,11789,2022-07-06 09:01:06,Mluiza,2022-07-06 09:01:06,Mluiza,1
504,1992,2022-07-06 09:01:06,Mluiza,2022-07-06 09:01:06,Mluiza,4
503,11785,2022-07-06 09:03:18,Mluiza,2022-07-06 09:03:18,Mluiza,1
503,1986,2022-07-06 09:03:18,Mluiza,2022-07-06 09:03:18,Mluiza,4
502,11785,2022-07-06 09:04:26,Mluiza,2022-07-06 09:04:26,Mluiza,1
502,1986,2022-07-06 09:04:26,Mluiza,2022-07-06 09:04:26,Mluiza,4
501,11794,2022-07-06 09:07:16,Mluiza,2022-07-06 09:07:16,Mluiza,1
501,3467,2022-07-06 09:07:16,Mluiza,2022-07-06 09:07:16,Mluiza,4
594,11766,2022-07-11 09:02:03,Mluiza,2022-07-11 09:02:03,Mluiza,1
594,3077,2022-07-11 09:02:03,Mluiza,2022-07-11 09:02:03,Mluiza,4
584,11786,2022-07-11 09:04:03,Mluiza,2022-07-11 09:04:03,Mluiza,1
584,3268,2022-07-11 09:04:03,Mluiza,2022-07-11 09:04:03,Mluiza,4
546,11786,2022-07-11 09:05:37,Mluiza,2022-07-11 09:05:37,Mluiza,1
546,2981,2022-07-11 09:05:37,Mluiza,2022-07-11 09:05:37,Mluiza,4
579,11780,2022-07-11 09:14:16,Mluiza,2022-07-11 09:14:16,Mluiza,1
579,11452,2022-07-11 09:14:16,Mluiza,2022-07-11 09:14:16,Mluiza,4
567,11780,2022-07-11 09:15:47,Mluiza,2022-07-11 09:15:47,Mluiza,1
567,11448,2022-07-11 09:15:47,Mluiza,2022-07-11 09:15:47,Mluiza,4
526,11780,2022-07-11 09:17:15,Mluiza,2022-07-11 09:17:15,Mluiza,1
526,11442,2022-07-11 09:17:15,Mluiza,2022-07-11 09:17:15,Mluiza,4
524,11794,2022-07-11 09:23:34,Mluiza,2022-07-11 09:23:34,Mluiza,1
524,3469,2022-07-11 09:23:34,Mluiza,2022-07-11 09:23:34,Mluiza,4
523,11794,2022-07-11 09:24:57,Mluiza,2022-07-11 09:24:57,Mluiza,1
523,3469,2022-07-11 09:24:57,Mluiza,2022-07-11 09:24:57,Mluiza,4
522,11794,2022-07-11 09:32:31,Mluiza,2022-07-11 09:32:31,Mluiza,1
522,3469,2022-07-11 09:32:31,Mluiza,2022-07-11 09:32:31,Mluiza,4
544,11794,2022-07-11 09:45:58,Mluiza,2022-07-11 09:45:58,Mluiza,1
544,2167,2022-07-11 09:45:58,Mluiza,2022-07-11 09:45:58,Mluiza,4
573,11794,2022-07-11 09:47:20,Mluiza,2022-07-11 09:47:20,Mluiza,1
573,2422,2022-07-11 09:47:20,Mluiza,2022-07-11 09:47:20,Mluiza,4
574,11794,2022-07-11 09:48:48,Mluiza,2022-07-11 09:48:48,Mluiza,1
574,2426,2022-07-11 09:48:48,Mluiza,2022-07-11 09:48:48,Mluiza,4
568,11766,2022-07-11 10:03:51,Mluiza,2022-07-11 10:03:51,Mluiza,1
568,3033,2022-07-11 10:03:51,Mluiza,2022-07-11 10:03:51,Mluiza,4
566,11787,2022-07-11 10:07:05,Mluiza,2022-07-11 10:07:05,Mluiza,1
566,11243,2022-07-11 10:07:05,Mluiza,2022-07-11 10:07:05,Mluiza,4
565,11787,2022-07-11 10:08:41,Mluiza,2022-07-11 10:08:41,Mluiza,1
565,11243,2022-07-11 10:08:41,Mluiza,2022-07-11 10:08:41,Mluiza,4
564,11787,2022-07-11 10:15:14,Mluiza,2022-07-11 10:15:14,Mluiza,1
564,11243,2022-07-11 10:15:14,Mluiza,2022-07-11 10:15:14,Mluiza,4
563,11787,2022-07-11 10:26:40,Mluiza,2022-07-11 10:26:40,Mluiza,1
563,11243,2022-07-11 10:26:40,Mluiza,2022-07-11 10:26:40,Mluiza,4
525,11789,2022-07-11 10:28:47,Mluiza,2022-07-11 10:28:47,Mluiza,1
525,2747,2022-07-11 10:28:47,Mluiza,2022-07-11 10:28:47,Mluiza,4
578,11794,2022-07-15 09:11:01,Mluiza,2022-07-15 09:11:01,Mluiza,1
577,11794,2022-07-15 09:11:58,Mluiza,2022-07-15 09:11:58,Mluiza,1
595,11777,2022-07-21 08:47:56,Mluiza,2022-07-21 08:47:56,Mluiza,1
595,3168,2022-07-21 08:47:56,Mluiza,2022-07-21 08:47:56,Mluiza,4
576,11777,2022-07-21 08:49:20,Mluiza,2022-07-21 08:49:20,Mluiza,1
576,3159,2022-07-21 08:49:20,Mluiza,2022-07-21 08:49:20,Mluiza,4
571,11777,2022-07-21 08:50:21,Mluiza,2022-07-21 08:50:21,Mluiza,1
571,10930,2022-07-21 08:50:21,Mluiza,2022-07-21 08:50:21,Mluiza,4
572,11774,2022-07-21 08:52:38,Mluiza,2022-07-21 08:52:38,Mluiza,1
572,3534,2022-07-21 08:52:38,Mluiza,2022-07-21 08:52:38,Mluiza,4
569,11772,2022-07-21 08:54:47,Mluiza,2022-07-21 08:54:47,Mluiza,1
569,1946,2022-07-21 08:54:47,Mluiza,2022-07-21 08:54:47,Mluiza,4
509,11772,2022-07-21 08:55:57,Mluiza,2022-07-21 08:55:57,Mluiza,1
509,2001,2022-07-21 08:55:57,Mluiza,2022-07-21 08:55:57,Mluiza,4
508,11772,2022-07-21 08:56:56,Mluiza,2022-07-21 08:56:56,Mluiza,1
508,2001,2022-07-21 08:56:56,Mluiza,2022-07-21 08:56:56,Mluiza,4
190,11793,2022-07-27 13:12:38,renato.rossi,2022-07-27 13:12:38,renato.rossi,1
580,11789,2022-08-08 09:09:46,Mluiza,2022-08-08 09:09:46,Mluiza,1
580,2486,2022-08-08 09:09:47,Mluiza,2022-08-08 09:09:47,Mluiza,4
2044,11612,2023-02-17 17:22:19,nmabeck,2023-02-17 17:22:19,nmabeck,1
2044,11612,2023-02-17 17:22:19,nmabeck,2023-02-17 17:22:19,nmabeck,4
