id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
134,1045,Resultado Finalístico 1,"Aumentar o percentual de qualidade percebido do serviço prestado aos principais clientes das empresas participantes do projeto, sendo 3% em 2018 e 7% em 2019",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
135,1046,Resultado Finalístico 1,"Aumentar o percentual de qualidade percebido do serviço prestado aos principais clientes das empresas participantes do projeto, sendo 3% em 2018 e 7% em 2019",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
136,1116,Resultado Finalístico 1,Aumentar em 15% o índice de inovação nas empresas atendidas pelo projeto até dezembro de 2019,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
137,96,Resultado Finalístico 1,Aumento de faturamento nas empresas em 12% até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
138,110,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
139,144,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
140,103,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
141,122,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
142,186,Resultado Finalístico 1,Formar 1 núcleo setorial e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
143,1048,Resultado Finalístico 1,"Gerar intenção de negócios no montante de R$ 200 mil reais em 2018, e R$ 300 mil reais em 2019",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
144,1049,Resultado Finalístico 1,Diminuição de 30% dos prejuízos decorrentes de contratações e demissões,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
